id,Name,titleProject_id,class,score,login,password
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,AbgV8cCO
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,CJfNPImo
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,3bTlwGcM
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,vNzJScIl
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,Xqzzu4tC
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,YVKRhkgY
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,H6F6JveZ
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,P5woQ2YQ
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,n88F2j6V
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,ElRvxU38
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,x3vF9bHH
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,E9B1fzVC
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,fg6Fn7Ep
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,dFs4djWQ
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,FACwf66Z
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,JHmLdnrX
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,qO8y3rcs
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,EbRgKH5g
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,iM4YBbvr
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,eZzUfZwY
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,3xU9jmEy
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,iMdJwiws
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,g9mdSa9X
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,XIPWr9C5
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,RtBwyqJ9
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,W1TVBdtQ
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,IFxIoPaT
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,OqsqizkO
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,HOYELzhC
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,TwHVvvCi
278,Углова Галина Романовна,260,9г,3,Углова_ГР,0fm1mB3e
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,uOmvqnrv
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,4gVSotCS
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,UEv0iXtO
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,jXVCakKT
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,TTdRJCLP
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,oA2B68RN
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,9ahdpMcD
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,6eizXvrv
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,JCAmWfV5
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,ouMUdO8L
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,CXpePZ1W
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,1D4zEG4S
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,6Z75tQdQ
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,Tl9nZEMK
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,NtriaJM7
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,wC0ZHWE3
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,kfrnCFXK
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,AjxR5yal
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,7H3m4XiJ
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,FeWLx3JM
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,PAFngqWq
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,Ecsa0zLq
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,Tjqww4tv
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,JwddAsdy
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,xDnBUKMX
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,MnigxTOX
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,319DXXTz
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,NeaZxIk6
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,PxC2P6oY
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,YHLI91QM
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,FPGv8tyF
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,VB87323R
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,RyECht4H
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,biIebXTe
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,UKQTP3A0
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,cOhSzpgq
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,fqfud03r
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,LYrslOtP
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,QKCrE8OZ
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,U43tG6aY
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,gLcsrV3V
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,QUa2KrbC
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,SPCZLkhQ
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,MMMLjsdS
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,GNa6HHI6
